slug,name,history_index,date,event,opponent,result,org,matched_event,reason
kubota-taito,窪田泰斗,22,2011-02-06,PANCRASE IMPRESSIVE TOUR 1,辻田大輔,loss,PANCRASE,PANCRASE 2011 IMPRESSIVE TOUR,no_candidate
strasser-kiichi,ストラッサー起一,0,2026-03-20,DEEP 130 IMPACT 【DEEPウェルター級タイトルマッチ】,嶋田伊吹,loss,DEEP,DEEP 130 IMPACT,no_candidate
strasser-kiichi,ストラッサー起一,34,2007-02-04,PANCRASE 2007 RISING TOUR,鳥生将大,loss,PANCRASE,PANCRASE 2007 RISING TOUR,no_candidate
kinoshita-karate,木下カラテ,5,2024-03-09,DEEP 118 IMPACT,五明宏人,win,DEEP,DEEP 118 IMPACT,no_candidate
kinoshita-karate,木下カラテ,12,2021-10-02,SHOOTO GIG TOKYO Vol.31,飯田建夫,loss,SHOOTO,SHOOTO GIG TOKYO Vol.31 Supported by ONE Championship,opponent_name_mismatch(org_bout_opponent=たてお)
uoi-fullswing,魚井フルスイング,27,2016-03-27,プロフェッショナル修斗公式戦,玉城優介,win,SHOOTO,BORDER -season8-「The 1st」,no_candidate
miyabi-shunsuke,雅駿介,2,2025-03-15,DEEP 124 IMPACT,"日比野""エビ中""純也",win,DEEP,DEEP 124 IMPACT,no_candidate
miyabi-shunsuke,雅駿介,13,2021-07-04,DEEP 102 IMPACT,RYUKI,loss,DEEP,DEEP 102 IMPACT,no_candidate
kadono-kohei,角野晃平,1,2025-09-21,DEEP OSAKA IMPACT 2025 4th ROUND 【DEEPウェルター級タイトルマッチ】,嶋田伊吹,loss,DEEP,DEEP OSAKA IMPACT 2025 4th ROUND,no_candidate
kadono-kohei,角野晃平,2,2025-05-05,DEEP 125 IMPACT 【DEEPウェルター級タイトルマッチ】,佐藤洋一郎,win,DEEP,DEEP 125 IMPACT,no_candidate
kadono-kohei,角野晃平,4,2024-09-22,DEEP OSAKA IMPACT 2024 3RD ROUND,中門虎徹,win,DEEP,DEEP OSAKA IMPACT 2024 3rd ROUND,opponent_name_mismatch(org_bout_opponent=中門虎鉄)
kadono-kohei,角野晃平,5,2024-03-17,DEEP OSAKA IMPACT 2024 1ST ROUND,鈴木琢仁,win,DEEP,DEEP OSAKA IMPACT 2024 1st ROUND,no_candidate
kadono-kohei,角野晃平,8,2022-12-18,DEEP OSAKA IMPACT 2022 5TH ROUND,森井翼,win,DEEP,DEEP OSAKA IMPACT 2022 5th ROUND,no_candidate
