event_id,brand,event_date,bout_index,side,result,name_raw,gym_raw,name_normalized,weight_class_raw,source_url,fetched_at,mnews_slug,status,match_confidence,name_confidence
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,3,B,loss,鈴木”BOSS”遥,SAI-GYM,鈴木”BOSS”遥,DEEP JEWELSバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,4,A,win,堂園悠,修和館,堂園悠,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,4,B,loss,坂本岳,JAPAN TOP TEAM,坂本岳,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,5,A,win,谷岡祐樹,パラエストラ加古川,谷岡祐樹,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,5,B,loss,大空斗,パンクラス大阪稲垣組,大空斗,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,6,A,win,ステファン“スマッシュ”,フリー,ステファン“スマッシュ”,DEEPメガトン級 5分２R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,6,B,loss,大家皆,総合格闘技道場加藤,大家皆,DEEPメガトン級 5分２R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,7,A,win,山﨑鼓大,BLOWS,山﨑鼓大,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,7,B,loss,脇田仁,COMRADE,脇田仁,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,8,A,win,小川道的,柔術兄弟,小川道的,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,8,B,loss,藤田宇宙,パンクラス大阪稲垣組,藤田宇宙,DEEPフェザー級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,9,A,win,福田泰暉,TEAM STAKE,福田泰暉,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,9,B,loss,田口貴規,総合格闘技Asura,田口貴規,DEEPバンタム級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,10,A,win,ベンジャミン,blooM,ベンジャミン,DEEPライト級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,kana_only
deep-osaka-impact-2025-5th-round,DEEP OSAKA IMPACT,2025-12-07,10,B,loss,河坂修斗,クロスポイント・パラエストラ吉祥寺,河坂修斗,DEEPライト級 5分2R,https://www.deep2001.com/deep-osaka-impact-2025-5th-round/,2026-07-25,,missing,none,clean
