event	row_count
琉球 Kamikaze Spirits	2
第6回岡山ジム主催興業	2
"聖戦 〜SANCTUARY III〜 風林火山 ""風の章"""	2
聖戦 〜SANCTUARY I〜	2
英雄伝説 2016	2
藤原祭	2
蹴拳24	2
蹴拳VI	2
野良犬祭	2
鉄拳9	2
風吹ジム特設リング	2
龍PROMOTION「I.K.M.F. 韓国・日本4VS4マッチ」	2
"""Kings Of The Ring"" Italy Thai Boxing Tournament, Final"	1
"""Kings Of The Ring"" Italy Thai Boxing Tournament, Quarter Finals"	1
"""Kings Of The Ring"" Italy Thai Boxing Tournament, Semi Finals"	1
"""Les Maîtres du Ring"""	1
"""New Talents"""	1
10th Ukrainian Muay Thai championships	1
11th Ukrainian Muay Thai championships	1
1st Stage of Ukrainian Muaythai Cup 2008	1
2 Hot 2 Handle - The Road To Tokyo	1
2 Hot 2 Handle XVII	1
2004年5月15日以前の試合	1
2011藤原祭〜冬の陣〜	1
2011藤原祭り～冬の陣～	1
2011藤原祭り～夏の陣～	1
2012 武林風 第7回中日対抗戦	1
2012“湯都論剣”世界格闘王者争覇戦	1
2024年3月20日	1
2H2H - Simply the Best IV	1
3rd Steko Fight Night	1
4. Merseburger Fight Night	1
54kg契約 Girls SHOCK V	1
54kg契約 イタリア	1
54kg契約 タイ ローイエット	1
67Kg世界最強決定トーナメント　フランス　ベルーシー体育館	1
8th Ukrainian Muaythai Cup	1
8ème Nuit des Sports de Combat	1
8ème Nuit des Sports de Combatbr	1
A Night To Remember	1
A Night to Remember	1
A-1 Tournament @	1
A-1 Tournament Istanbur	1
A-1 World Champions League	1
A-1 World Cup Combat Lyon	1
A1 Lyon	1
A1 WORLD COMBAT CUB	1
A1 WORLD COMBAT League	1
ACB KB 3: Grand Prix Final	1
ACB KB 8: Only The Braves	1
ACB-KB 16	1
ACCEL 20	1
ACCEL Vol.39	1
ACCEL vol.13 WEST EVOLUTION 世界4大格闘王神戸決戦	1
ACCEL vol.14 夏の陣	1
ACCEL vol.24	1
ACCEL vol.26	1
ACCEL vol.27	1
ACCEL vol.28	1
ACCEL vol.32	1
ACCEL vol.37	1
ACCEL vol.38	1
ACCEL 格闘武道会2 KARATE REVENGE	1
ACCEL 格闘武道会4 聖夜決戦	1
ACCELvol.25	1
ACCELvol.26	1
ACCELvol.27	1
ACCELvol.37トリプルメインイベント第3試合　アクセルGルール初代バンタム級王座決定戦　3分3R	1
ACCELvol.38	1
AJKN.1～始動～	1
ALL BOX WORLD	1
ALL BOX WORLD 9th	1
ALTIMATE WARRIORS	1
APF - Azerbaijan vs. Europe	1
Afternoon Rumble	1
Ahoy Simply The Best VI	1
Al-Fid Thaibox Gala	1
Alkmaar	1
All Star Fight	1
All Star Fight 2	1
All Star Fight 4	1
All Star Fight 5	1
All Star Fight 6	1
All Star Fight 7	1
All Star Fight 8	1
Amsterdam Fight Club2009年4月11日	1
Amsterdam Fightclub	1
Amsterdam Fightclub presents	1
Arbat Fight Club, WBKF, Moscow	1
"Athletic Club ""Minoas"""	1
"BARS ""Arbat"""	1
BARS - BARS	1
BARS: Kirsanov vs. Matkin	1
BATTLE FRONT 1	1
BATTLE OF CHAMPIONS	1
BBTVスタジアム	1
BEST OF FIGHT	1
BEST OF KICK BOXING Super Fight 3	1
BLADE 1	1
BLADE 1 - BLADE FIGHTING CHAMPIONSHIP- BLADE FC JAPAN -61kg	1
BLADE.2	1
BOM -THE BATTLE OF MUAY THAI SEASON 2-WMC	1
BOM 2-6～THE Battle Of Muaythai SEASON II vol.6	1
BOM 41	1
BOM 45	1
BOM 50	1
BOM I～The Battle of Muaythai～	1
BOM OUROBOROS	1
BOM WAVE 04	1
BOM WAVE 06	1
BOM WAVE 3	1
BOM WAVE03	1
BOM WAVE05	1
BOM18	1
BOM19	1
BOM2-6	1
BOM2-6 - The Battle Of Muay Thai SeasonⅡ vol.6 -	1
BOMプロモーション『BOM OUROBOROS 2025』BOM OFGミドル級（-72.57kg）王座決定戦　3分3R	1
BRAVE 2003 (日進会館）	1
BRAVE CORE II	1
BRAVE CORE III	1
BREATHNESS MUAY THAI 4	1
BRUTE FORCE 33 COLLISION	1
BUNGELING BAY SPIRIT 縁 〜enishi〜	1
Baas Sports	1
Bad Boys Day	1
Balans Fight Night Gala	1
Balans Kickboxing Gala	1
Bangkok	1
Bangkok, IFMA, Amateur Muaythai World Championships, アマチュアムエタイ	1
Battle To Be King, Fairtex Thepprasit Stadium	1
Battle Under the Tower	1
Battle for the Belts	1
Battle in Zaandam II	1
Battle of Arnhem 4	1
Battle of Arnhem 6	1
Battle of Arnhem II	1
Battle of Champions, Moscow	1
Battle of Sweden	1
Battle of the Anzacs	1
Battle on Bali FC	1
Beast of The East	1
Beast of the East【WFCAタイボクシング世界ジュニアミドル級タイトルマッチ	1
Beatdown	1
Beatmasters Show	1
Belarus vs USA, Minsk, Belarus	1
Belorechensk Fight Night 2	1
Best of Siam	1
Best of Siam 2	1
Best of Siam 6	1
Best of The Best	1
"Big8 Grand Prix ""European Selection"""	1
"Bishkek, kyrgyzstan, Stadium ""Spartacus"""	1
Black List 010 meets Wolf Revolution	1
Blade 1	1
Blade FC 2	1
Blood, Sweat & Tears	1
Bologna Fight Night	1
Born To Fight	1
"Boxing Club ""Reaktor"""	1
"Boxing Club ""Reaktor"":Belarus VS Russia"	1
Brave CF 97	1
BreakingDown10	1
BreakingDown11	1
BreakingDown12	1
BreakingDown13.5	1
BreakingDown16.5	1
BreakingDown17	1
BreakingDown19	1
BreakingDown19.5	1
BreakingDown20	1
BreakingDown5.5	1
BreakingDown6.5	1
BreakingDown9.5	1
Breidushal	1
Bruce Lee 70th Birthday Celebrations	1
Brute Force 11	1
Bulldog Media Fight Night 2	1
"Bushido Europe ""Rotterdam Rumble"""	1
Bushido Europe: Rotterdam Rumble	1
C.L.K Mucho Machismo	1
CHAKURIKI 19	1
CHALLENGER 8	1
CHAMPIONS CARNIVAL 2014	1
CHAMPIONS CARNIVAL 2015	1
