slug,nameJa,jaTitle,articleFound,qualifyingSections,sectionRowCount,otherSectionsRowCount,parserKeptNow,dbHistoryLen,parserDropCount,pipelineDiff,dropReasons,note
haga-bilalkai,芳賀ビラル海,芳賀ビラル海,true,1,13,0,13,13,0,0,,
aimoto-kazuki,相本宗輝,相本宗輝,true,0,0,0,10,10,-10,0,,「総合格闘技」節が見つからず(en版由来の可能性)
yuya-wakamatsu,若松佑弥,若松佑弥,true,0,0,0,27,27,-27,0,,「総合格闘技」節が見つからず(en版由来の可能性)
shinya-aoki,青木真也,青木真也,true,1,64,0,63,63,1,0,marker-blank-future:1,
hiroyuki-tetsuka,手塚裕之,手塚裕之 (総合格闘家),true,1,22,0,22,22,0,0,,
tatsumitsu-wada,和田竜光,和田竜光,true,1,44,0,44,44,0,0,,
ayaka-miura,三浦彩佳,三浦彩佳,true,0,0,0,24,24,-24,0,,「総合格闘技」節が見つからず(en版由来の可能性)
chihiro-sawada,澤田千優,澤田千優,true,0,0,0,14,14,-14,0,,「総合格闘技」節が見つからず(en版由来の可能性)
itsuki-hirata,平田樹,平田樹,true,1,13,0,13,13,0,0,,
seiichiro-ito,伊藤盛一郎,伊藤盛一郎,true,1,25,0,25,25,0,0,,
keito-yamakita,山北渓人,山北渓人,true,1,14,0,13,13,1,0,marker-blank-future:1,
koya-kanda,神田コウヤ,神田コウヤ,true,1,24,0,24,24,0,0,,
hinotori,火の鳥,火の鳥 (格闘家),true,1,7,0,7,7,0,0,,
enju-kenta,猿寿健太,KENTA (格闘家),true,1,15,0,15,15,0,0,,
kim-soochul,キム・スーチョル,キム・スーチョル,true,1,35,0,35,35,0,0,,
yang-jiyong,ヤン・ジヨン,ヤン・ジヨン,true,1,16,0,16,16,0,0,,
lee-junghyun,イ・ジョンヒョン,イ・ジョンヒョン (格闘家),true,1,11,0,11,11,0,0,,
yrysbek-tilenov,イリスベク・ティレノフ,イリスベク・ティレノフ,true,1,9,0,9,9,0,0,,
nii-suguru,新居すぐる,新居すぐる,true,1,31,0,31,31,0,0,,
inoue-seiya,井上聖矢,井上聖矢,true,1,2,0,2,2,0,0,,
matsushima-koyomi,松嶋こよみ,松嶋こよみ,true,1,23,0,23,23,0,0,,
ameyama-seiya,飴山聖也,飴山聖也,true,1,12,0,11,11,1,0,marker-blank-future:1,
yasui-hyuma,安井飛馬,安井飛馬,true,1,5,0,5,5,0,0,,
uno-caol,宇野薫,宇野薫,true,1,64,0,64,64,0,0,,
ishizuka-koichi,石司晃一,石司晃一,true,1,27,0,26,26,1,0,date-empty:1,
sasaki-hiro,佐々木大,佐々木大,true,1,8,0,8,8,0,0,,
sugiyama-kohei,杉山廣平,杉山廣平,true,0,0,0,25,25,-25,0,,「総合格闘技」節が見つからず(en版由来の可能性)
isao,ISAO,ISAO (格闘家),true,1,38,0,38,38,0,0,,
coro,CORO,CORO,true,1,44,0,44,44,0,0,,
takeuchi-ryugo,竹内龍吾,竹内龍吾,true,1,8,0,8,8,0,0,,
uchida-takeru,内田タケル,内田タケル,true,1,12,0,11,11,1,0,marker-blank-future:1,
suzuki-takaya,鈴木崇矢,鈴木崇矢,true,1,10,0,9,9,1,0,marker-blank-future:1,
miyaguchi-ryuho,宮口龍鳳,宮口龍鳳,true,1,8,0,8,8,0,0,,
mizoguchi-tsukasa,溝口司,溝口司,true,1,4,0,4,4,0,0,,
minowa-hiroba,箕輪ひろば,箕輪ひろば,true,0,0,0,20,20,-20,0,,「総合格闘技」節が見つからず(en版由来の可能性)
honda-ryosuke,本田良介,本田良介,true,0,0,0,23,23,-23,0,,「総合格闘技」節が見つからず(en版由来の可能性)
asahina-ken,旭那 拳,旭那拳,false,0,0,0,0,17,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
taguchi-keita,田口 恵大,田口恵大,false,0,0,0,0,6,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
tomori-rui,友利 琉偉,友利琉偉,false,0,0,0,0,7,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
tomori-kota,友利 幸汰,友利幸汰,false,0,0,0,0,5,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
umeki-yutoku,梅木 勇徳,梅木勇徳,false,0,0,0,0,11,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
sugimoto-seiya,杉本 静弥,杉本静弥,false,0,0,0,0,7,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
unconfirmed-shooto-1875,砂辺 光久,砂辺光久,true,1,47,0,47,47,0,0,,
baikin-dokuichiro,梅筋 毒一郎,梅筋毒一郎,false,0,0,0,0,3,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
yamauchi-wataru,山内 渉,山内渉,false,0,0,0,0,8,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
okada-arashi,岡田 嵐士,岡田嵐士,false,0,0,0,0,9,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
nakaike-takehiro,中池 武寛,中池武寛,false,0,0,0,0,10,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
suzuki-takeru,鈴木 尊,鈴木尊,false,0,0,0,0,5,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
kawakita-haruki,川北 晏生,川北晏生,false,0,0,0,0,10,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
susung,チョウ スソン,チョウスソン,false,0,0,0,0,6,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
fujii-nobuki,藤井 伸樹,藤井伸樹,false,0,0,0,0,16,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
lightyear-daiki,ダイキ ライトイヤー,ダイキライトイヤー,false,0,0,0,0,20,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
nakajima-riku,中島 陸,中島陸,true,1,8,0,7,7,1,0,marker-blank-future:1,
nojiri-yasuyuki,野尻 定由,野尻定由,false,0,0,0,0,15,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
park-jongjun,パク ジョンジュン,パクジョンジュン,false,0,0,0,0,1,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
saito-tsubasa,齋藤 翼,齋藤翼,false,0,0,0,0,23,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
uehara-taira,上原 平,上原平,true,0,0,0,0,14,0,-14,,「総合格闘技」節が見つからず(en版由来の可能性)
shikijima-kazuma,磯城嶋 一真,磯城嶋一真,false,0,0,0,0,9,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
iino-yuto,飯野 雄斗,飯野雄斗,false,0,0,0,0,5,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
dinesh-nain,ネイン デイネッシュ,ネインデイネッシュ,false,0,0,0,0,9,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
yuki-daiki,結城 大樹,結城大樹,false,0,0,0,0,13,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
azumi-kento,安海 健人,安海健人,false,0,0,0,0,5,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
body-maxthe,マックス・ザ・ボディ,マックス・ザ・ボディ,false,0,0,0,0,9,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
tyson-nobumitsu,大尊 伸光,大尊伸光,false,0,0,0,0,8,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
tanaka-yu,田中 有,田中有,false,0,0,0,0,8,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
valenzuela-victor,ヴィクター バレンズエラ,ヴィクターバレンズエラ,false,0,0,0,0,1,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
tamura-hibiki,田村 ヒビキ,田村ヒビキ,false,0,0,0,0,1,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
waki-grappler,グラップラー脇,グラップラー脇,false,0,0,0,0,3,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
iwasaki-taiga,岩﨑 大河,岩﨑大河,true,1,13,0,13,13,0,0,,
yuji-arai,荒井 勇ニ,荒井勇ニ,false,0,0,0,0,2,0,0,,ja.wikipedia記事が取得できず(en版由来の可能性、または記事名不一致)
