slug	name	date	event	opponent	methodRaw	promotion
danieru-puerutasu	ダニエル・プエルタス	2024-01-13	ONE Fight Night 6	Superlek Kiatmoo9	5R 判定	RISE
danieru-puerutasu	ダニエル・プエルタス	2023-01-14	ONE FIGHT NIGHT 6: SUPERBON VS. ALLAZOV	スーパーレック	ユナニマス判定	ONE Championship
takeru-2	武尊	2026-04-29	ONE SAMURAI 1	ロッタン・ジットムアンノン	TKO	ONE Championship
takeru-2	武尊	2025-11-16	ONE 173	デニス・ピューリック	TKO	ONE Championship
takeru-2	武尊	2025-03-23	ONE 172: 武尊 VS ロッタン	ロッタン・ジットムアンノン	ノックアウト	ONE Championship
takeru-2	武尊	2024-09-27	ONE Friday Fights 81: Superbon vs. Nattawut	タン・ジン	ノックアウト	ONE Championship
takeru-2	武尊	2024-01-28	ONE 165: Superlek vs. Takeru	スーパーレック	ユナニマス判定	ONE Championship
kokoz	KOKOZ	2026-05-15	ONE Friday Fights 154	ミア・トレヴォロウ	ユナニマス判定	ONE Championship
kokoz	KOKOZ	2024-09-20	ONE Friday Fights 80	エミリー・チョン	3R 判定	RISE
kokoz	KOKOZ	2024-06-14	ONE Friday Fights 67	サワラート・シットクルジャ	3R判定	RISE
fushimi-kazuyuki	伏見 和之	2013-11-04	MA日本キック DRAGON.3 ～THE ONE AND ONLY～ 門戸開放	渡部 ヒロシ	2R TKO	SHOOT BOXING
denisu-demirukapu	デニス・デミルカプ	2024-09-20	ONE Friday Fights 80	コンクライ	ノックアウト	ONE Championship
denisu-demirukapu	デニス・デミルカプ	2024-04-26	ONE Friday Fights 60	スアキム	ノックアウト	ONE Championship
denisu-demirukapu	デニス・デミルカプ	2024-02-23	ONE Friday Fights 53	ブアキャオ・ポー・パオイン	ノックアウト	ONE Championship
noiri-masaaki	野杁正明	2026-08-08	ONE SAMURAI 2	リウ・メンヤン	ノックアウト	ONE Championship
noiri-masaaki	野杁正明	2025-11-16	ONE 173	スーパーボン	ユナニマス判定	ONE Championship
noiri-masaaki	野杁正明	2025-03-23	ONE 172: 武尊 VS ロッタン	タワンチャイ・PK・センチャイ	TKO	ONE Championship
noiri-masaaki	野杁正明	2025-01-24	ONE 170	シャーキル・タクレティ	ノックアウト	ONE Championship
noiri-masaaki	野杁正明	2024-12-20	ONE Friday Fights 92	リウ・メンヤン	ユナニマス判定	ONE Championship
noiri-masaaki	野杁正明	2024-06-08	ONE 167: Tawanchai vs. Nattawut 2	シッティチャイ・シッソンピーノン	3R終了 判定0-3	ONE Championship
noiri-masaaki	野杁正明	2024-06-07	ONE 167: Tawanchai vs. Nattawut II	シッティチャイ・シッソンピーノン	ユナニマス判定	ONE Championship
tateshima-atsushi	立嶋篤史	1992-11-21	全日本キックボクシング連盟「One Truth 8th」	ピーマイ・オー・ユッタナゴン	5R終了 判定	全日本キックボクシング連盟
tateshima-atsushi	立嶋篤史	1992-09-26	全日本キックボクシング連盟「One Truth 6th」	カチュンカイ・サーハイシン	5R 2:08 KO	全日本キックボクシング連盟
tateshima-atsushi	立嶋篤史	1992-07-18	全日本キックボクシング連盟「One Truth 5th」	前田憲作	5R終了 判定0-2	全日本キックボクシング連盟
tateshima-atsushi	立嶋篤史	1992-05-30	全日本キックボクシング連盟「One Truth 3rd」	山崎路晃	5R終了 判定2-0	全日本キックボクシング連盟
tateshima-atsushi	立嶋篤史	1992-03-28	全日本キックボクシング連盟「One Truth 2nd」	清水隆広	3R 0:55 KO	全日本キックボクシング連盟
tateshima-atsushi	立嶋篤史	1992-01-25	全日本キックボクシング連盟「One Truth “一つの真実”」	ダルーン・アユタナコーン	5R終了 判定	全日本キックボクシング連盟
fukashi	不可思	2007-10-28	BRIDGE one match challenge 6th	田原 大嗣		Bigbang
fuga-tokoro	所 風雅	2026-03-13	ONE Friday Fights 146	シェン・イージョウ	ユナニマス判定	ONE Championship
igoru-bekurefu	イゴール・ベクレフ	2024-12-20	ONE Friday Fights 92	パンパヤック	ノックアウト	ONE Championship
igoru-bekurefu	イゴール・ベクレフ	2024-11-08	ONE Friday Fights 86	ギンサンレック	TKO	ONE Championship
tsukuru-midorikawa	緑川 創	2020-04-17	Road to ONE 2nd	西川大和	3R終了 判定3-0	Wikipedia(その他団体)
wajima-hiromi	和島 大海	2026-04-29	ONE SAMURAI 1	リカルド・ブラボ	ユナニマス判定	ONE Championship
wajima-hiromi	和島 大海	2025-11-16	ONE 173	ナビル・アナン	ユナニマス判定	ONE Championship
wan-junguan	ワン・ジュングァン	2019-12-09	ONE Championship: Mark Of Greatness	サムエー・ガイヤーンハーダオ	5R終了 判定0-3	ONE Championship
keisuke-monguchi	門口佳佑	2026-01-23	ONE Friday Fights 139	ジャオ・ジェンドン	TKO	ONE Championship
burisu-derubaru	ブリース・デルバール	2025-08-15	ONE Friday Fights 120	メルト・アスラン	TKO	ONE Championship
burisu-derubaru	ブリース・デルバール	2025-05-23	ONE Friday Fights 109	ヨッドIQ・オー・ピモンシー	ユナニマス判定	ONE Championship
oinuma-ryuto	老沼 隆斗	2024-03-22	ONE Friday Fights 56	カンレック・ソー・チョーミーチャイ	ノックアウト	ONE Championship
itou-saya	伊藤紗弥	2026-08-14	ONE Friday Fights 166 & The Inner Circle	ノンヌック	ユナニマス判定	ONE Championship
ryuto-shiokawa	塩川琉斗	2026-08-08	ONE SAMURAI 2	笠原弘希	スプリット判定	ONE Championship
ishida-katsuki	石田勝希	2016-10-02	マーシャルアーツ日本キックボクシング連盟RKS「大阪大会～THE ONE AND ONLY～ 門戸開放」	加藤剛士	3分3R終了 判定3-0	Wikipedia(その他団体)
toki-tamaru	田丸 辰	2026-04-29	ONE SAMURAI 1	黒田斗真	ユナニマス判定	ONE Championship
reiji	礼司	2026-08-08	ONE SAMURAI 2	奥村将真	ユナニマス判定	ONE Championship
reiji	礼司	2026-04-24	ONE Friday Fights 151	シェン・イーハン	ユナニマス判定	ONE Championship
shuto-sato	佐藤執斗	2024-05-24	ONE Friday Fights 64	ティーヤイ・PK・センチャイ	KO 1R	SHOOT BOXING
shuto-sato	佐藤執斗	2024-03-22	ONE Friday Fights 56	ラック・エラワン	KO 2R	SHOOT BOXING
