org,weight_class_raw,weight_class_mnews,weight_class_reason,rank,name_official,name_normalized,source_url,fetched_at,mnews_slug,status,match_confidence
shooto,ライト級,ライト級,,1,イム クァンウ,イムクァンウ,https://www.shooto-mma.com/ranking/,2026-07-25,im-kwangwoo,hidden,exact
shooto,ライト級,ライト級,,2,後藤 亮,後藤亮,https://www.shooto-mma.com/ranking/,2026-07-25,goto-ryo,listed,exact
shooto,ライト級,ライト級,,3,キャプテン ☆ アフリカ,キャプテン☆アフリカ,https://www.shooto-mma.com/ranking/,2026-07-25,captain-africa,listed,exact
shooto,ライト級,ライト級,,4,シヴァエフ,シヴァエフ,https://www.shooto-mma.com/ranking/,2026-07-25,shivaev,hidden,exact
shooto,ライト級,ライト級,,5,西尾 真輔,西尾真輔,https://www.shooto-mma.com/ranking/,2026-07-25,nishio-shinsuke,listed,exact
shooto,ライト級,ライト級,,6,結城 大樹,結城大樹,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ライト級,ライト級,,7,安海 健人,安海健人,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ライト級,ライト級,,8,マックス・ザ・ボディ,マックス・ザ・ボディ,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ライト級,ライト級,,9,大尊 伸光,大尊伸光,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ライト級,ライト級,,10,田中 有,田中有,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ウェルター級,ウェルター級,,王者,住村 竜市朗,住村竜市朗,https://www.shooto-mma.com/ranking/,2026-07-25,sumimura-ryuichiro,listed,exact
shooto,ウェルター級,ウェルター級,,1,デソウザ マルセル,デソウザマルセル,https://www.shooto-mma.com/ranking/,2026-07-25,desouza-marcel,hidden,exact
shooto,ウェルター級,ウェルター級,,2,墨吉 涼太,墨吉涼太,https://www.shooto-mma.com/ranking/,2026-07-25,sumiyoshi-ryota,hidden,exact
shooto,ウェルター級,ウェルター級,,3,マコア クーパー,マコアクーパー,https://www.shooto-mma.com/ranking/,2026-07-25,cooper-makoa,hidden,exact
shooto,ウェルター級,ウェルター級,,4,西條 英成,西條英成,https://www.shooto-mma.com/ranking/,2026-07-25,saijo-hidenari,hidden,exact
shooto,ウェルター級,ウェルター級,,5,ソーキ,ソーキ,https://www.shooto-mma.com/ranking/,2026-07-25,soki,hidden,exact
shooto,ウェルター級,ウェルター級,,6,ヴィクター バレンズエラ,ヴィクターバレンズエラ,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ウェルター級,ウェルター級,,7,エルナニ ペルペトゥオ,エルナニペルペトゥオ,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ウェルター級,ウェルター級,,8,田村 ヒビキ,田村ヒビキ,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ウェルター級,ウェルター級,,9,グラップラー脇,グラップラー脇,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ミドル級,ミドル級,,1,岩﨑 大河,岩﨑大河,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ミドル級,ミドル級,,2,荒井 勇ニ,荒井勇ニ,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ミドル級,ミドル級,,3,沙門,沙門,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ミドル級,ミドル級,,4,HENRY,HENRY,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ミドル級,ミドル級,,5,キム ジェヨン,キムジェヨン,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子アトム級,女子アトム級,,王者,青野 ひかる,青野ひかる,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子アトム級,女子アトム級,,1,徳本 望愛,徳本望愛,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子アトム級,女子アトム級,,2,中村 未来,中村未来,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子アトム級,女子アトム級,,3,杉本 恵,杉本恵,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子アトム級,女子アトム級,,4,平田 彩音,平田彩音,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子アトム級,女子アトム級,,5,パク ソヨン,パクソヨン,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子アトム級,女子アトム級,,6,NOEL,NOEL,https://www.shooto-mma.com/ranking/,2026-07-25,noel,listed,exact
shooto,女子アトム級,女子アトム級,,7,ジェニー ファン,ジェニーファン,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子アトム級,女子アトム級,,8,嶋屋 澪,嶋屋澪,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子スーパーアトム級,女子スーパーアトム級,,王者,渡辺 彩華,渡辺彩華,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子スーパーアトム級,女子スーパーアトム級,,1,高本 千代,高本千代,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子スーパーアトム級,女子スーパーアトム級,,2,erika,erika,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子スーパーアトム級,女子スーパーアトム級,,3,村上 彩,村上彩,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子スーパーアトム級,女子スーパーアトム級,,4,片山 智絵,片山智絵,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子スーパーアトム級,女子スーパーアトム級,,5,黒部 三奈,黒部三奈,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子スーパーアトム級,女子スーパーアトム級,,6,SARAMI,SARAMI,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子ストロー級,女子ストロー級,,王者,藤野 恵実,藤野恵実,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子ストロー級,女子ストロー級,,1,宝珠山 桃花,宝珠山桃花,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,女子ストロー級,女子ストロー級,,2,パク ボヒョン,パクボヒョン,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
