count	opponentName	classification
3	角田信朗	正当な未リンク(名簿に候補なし)
3	松本圭一太	正当な未リンク(名簿に候補なし)
3	大西 翼	正当な未リンク(名簿に候補なし)
3	フィル・ファーガン	正当な未リンク(名簿に候補なし)
3	翔平	正当な未リンク(名簿に候補なし)
3	SHU	正当な未リンク(名簿に候補なし)
3	嚴士鎔	正当な未リンク(名簿に候補なし)
3	Sero	正当な未リンク(名簿に候補なし)
3	野村リトル知生	正当な未リンク(名簿に候補なし)
3	土屋 大喜	正当な未リンク(名簿に候補なし)
3	高久雅裕	正当な未リンク(名簿に候補なし)
3	前田辰也	正当な未リンク(名簿に候補なし)
3	中野岳	正当な未リンク(名簿に候補なし)
3	チューチャイ	正当な未リンク(名簿に候補なし)
3	シニサ・アンドリヤセビッチ	正当な未リンク(名簿に候補なし)
3	三橋空良	正当な未リンク(名簿に候補なし)
3	清水将海	正当な未リンク(名簿に候補なし)
3	andrew	正当な未リンク(名簿に候補なし)
3	武巳	正当な未リンク(名簿に候補なし)
3	KAZU	正当な未リンク(名簿に候補なし)
3	セルジオ・サンチェス	正当な未リンク(名簿に候補なし)
3	長舩ライオン	正当な未リンク(名簿に候補なし)
3	吉瀧 光	正当な未リンク(名簿に候補なし)
3	こうた	正当な未リンク(名簿に候補なし)
3	半澤 信也	正当な未リンク(名簿に候補なし)
3	猪ノ川 海	正当な未リンク(名簿に候補なし)
3	一戸総太	正当な未リンク(名簿に候補なし)
3	山本ユノカ	正当な未リンク(名簿に候補なし)
3	白築杏奈	正当な未リンク(名簿に候補なし)
3	古川照明	正当な未リンク(名簿に候補なし)
3	六川星矢	正当な未リンク(名簿に候補なし)
3	玉城海優	正当な未リンク(名簿に候補なし)
3	Mai	正当な未リンク(名簿に候補なし)
3	ハルク大城	正当な未リンク(名簿に候補なし)
3	高木 亮	正当な未リンク(名簿に候補なし)
3	Marina	正当な未リンク(名簿に候補なし)
3	川島史也	正当な未リンク(名簿に候補なし)
3	志賀将大	正当な未リンク(名簿に候補なし)
3	蘇我英樹	正当な未リンク(名簿に候補なし)
3	松信 亮次	正当な未リンク(名簿に候補なし)
3	雄也	正当な未リンク(名簿に候補なし)
3	フィリップ・ゴミス	正当な未リンク(名簿に候補なし)
3	小澤和樹	正当な未リンク(名簿に候補なし)
3	阿佐美義文	正当な未リンク(名簿に候補なし)
3	エルハン・デニス	正当な未リンク(名簿に候補なし)
3	仲山大雅	正当な未リンク(名簿に候補なし)
3	高坂侑弥	正当な未リンク(名簿に候補なし)
3	"ツグト""忍""アマラ"	正当な未リンク(名簿に候補なし)
3	ジャバット・ポトラック	正当な未リンク(名簿に候補なし)
3	ショーン・オヘア	正当な未リンク(名簿に候補なし)
3	大輔	正当な未リンク(名簿に候補なし)
3	HΛL	正当な未リンク(名簿に候補なし)
3	花田元誓	正当な未リンク(名簿に候補なし)
3	馬渡亮太	正当な未リンク(名簿に候補なし)
3	竜宣	正当な未リンク(名簿に候補なし)
3	ナグランチューン・マーサM16	正当な未リンク(名簿に候補なし)
3	村田 大輔	正当な未リンク(名簿に候補なし)
3	ミハウ・グロガフスキー	正当な未リンク(名簿に候補なし)
3	高橋藍	正当な未リンク(名簿に候補なし)
3	虎太朗	正当な未リンク(名簿に候補なし)
3	IMARI	正当な未リンク(名簿に候補なし)
3	伊織	正当な未リンク(名簿に候補なし)
3	チューチャイ・	正当な未リンク(名簿に候補なし)
3	乾 秀人	正当な未リンク(名簿に候補なし)
3	倉光 改	正当な未リンク(名簿に候補なし)
3	チェ・ジョンユン	正当な未リンク(名簿に候補なし)
3	吉野 繁	正当な未リンク(名簿に候補なし)
3	オーシャン・ウジハラ	正当な未リンク(名簿に候補なし)
3	セルゲイ・ハリトーノフ	正当な未リンク(名簿に候補なし)
3	羅向	正当な未リンク(名簿に候補なし)
3	侑毅	正当な未リンク(名簿に候補なし)
3	テーパプット・シンコウムエタイ	正当な未リンク(名簿に候補なし)
3	YABU	正当な未リンク(名簿に候補なし)
3	ダニエル・ヴィチェコブスキー	正当な未リンク(名簿に候補なし)
3	がやお	正当な未リンク(名簿に候補なし)
3	パコーン	正当な未リンク(名簿に候補なし)
3	久世 秀樹	正当な未リンク(名簿に候補なし)
3	チャイディー・カー	正当な未リンク(名簿に候補なし)
3	リュウ	正当な未リンク(名簿に候補なし)
3	田渕 神太	正当な未リンク(名簿に候補なし)
3	齋藤 祐斗	正当な未リンク(名簿に候補なし)
3	コンバット・ジーヨ	正当な未リンク(名簿に候補なし)
3	イ・ミョンジュ	正当な未リンク(名簿に候補なし)
3	野津良太	正当な未リンク(名簿に候補なし)
3	自演乙＠PIGU	正当な未リンク(名簿に候補なし)
3	ゲン・カー	正当な未リンク(名簿に候補なし)
3	阿久澤英一	正当な未リンク(名簿に候補なし)
3	宮本武蔵	正当な未リンク(名簿に候補なし)
3	高木覚清	正当な未リンク(名簿に候補なし)
3	太陽照明	正当な未リンク(名簿に候補なし)
3	曽我 好健	正当な未リンク(名簿に候補なし)
3	MARIA	正当な未リンク(名簿に候補なし)
3	ローマン・クレイブル	正当な未リンク(名簿に候補なし)
3	晋センチャイジム	正当な未リンク(名簿に候補なし)
3	竹中 悠獅	正当な未リンク(名簿に候補なし)
3	国本真義	正当な未リンク(名簿に候補なし)
3	翔貴	正当な未リンク(名簿に候補なし)
3	王子	正当な未リンク(名簿に候補なし)
3	山中涼惺	正当な未リンク(名簿に候補なし)
3	ヨードレックペット・オー・ピティサック	正当な未リンク(名簿に候補なし)
3	タリソン・ゴメス・フェレイラ	正当な未リンク(名簿に候補なし)
3	シーン・プルヤック	正当な未リンク(名簿に候補なし)
3	竜輝	正当な未リンク(名簿に候補なし)
3	勇馬	正当な未リンク(名簿に候補なし)
3	ミッチ・オヘロ	正当な未リンク(名簿に候補なし)
3	ヨシップ・ボドロチック	正当な未リンク(名簿に候補なし)
3	三宅秀和	正当な未リンク(名簿に候補なし)
3	小山内 大輝	正当な未リンク(名簿に候補なし)
3	MEGUMI	正当な未リンク(名簿に候補なし)
3	室屋宏幸	正当な未リンク(名簿に候補なし)
3	Shin	正当な未リンク(名簿に候補なし)
3	川端 健司	正当な未リンク(名簿に候補なし)
3	Sitthichai Sitsongpeenong	正当な未リンク(名簿に候補なし)
3	FABIANO	正当な未リンク(名簿に候補なし)
3	エベンゼール・フォンテス・ブラガ	正当な未リンク(名簿に候補なし)
3	マナベ・アツヤ	正当な未リンク(名簿に候補なし)
3	ハリィ永田	正当な未リンク(名簿に候補なし)
3	階健志	正当な未リンク(名簿に候補なし)
3	SHINOBU・ツグト・アマラ	正当な未リンク(名簿に候補なし)
3	デビッド・ダンクレイド	正当な未リンク(名簿に候補なし)
3	MASAKI	正当な未リンク(名簿に候補なし)
3	ワンチャルーム	正当な未リンク(名簿に候補なし)
3	ユウ・ウォーワンチャイ	正当な未リンク(名簿に候補なし)
3	NOBU BRAVELY	正当な未リンク(名簿に候補なし)
