# RIZINタグでLANDMARKを含まない大会名の全125件

taiga	大雅	2019-04-21	RIZIN.15	タリソン・ゴメス・フェレイラ	2R 2分34秒 TKO(3ノックダウン)
taiga	大雅	2018-09-30	RIZIN.13	原口健飛	3R 判定 ドロー（0-1）
takiya-shouta	瀧谷渉太	2019-08-18	GOOD SPEED presents RIZIN.18	大﨑一貴	3R 判定（0-3）
takiya-shouta	瀧谷渉太	2018-08-12	RWEDDINGS presents RIZIN.12	佐藤執斗	3R 判定 3-0
takeru-2	武尊	2015-12-31	IZAの舞	ヤン・ミン	2R 3分00秒 KO
tanaka-strike-yuki	田中STRIKE雄基	2019-06-02	RIZIN.16	憂也	1R 2分45秒 TKO
daniro-zanorini	ダニロ・ザノリニ	2019-08-18	GOOD SPEED presents RIZIN.18	ジョン・ウェイン・パー	3R 判定（1-2）
daniro-zanorini	ダニロ・ザノリニ	2016-04-17	TOP Presents RIZIN.1	網本規久	1R 2:19 TKO（3ノックダウン）
tomizawa-daichi	冨澤 大智	2023-12-31	にゃんこ大戦争 presents RIZIN.45	篠塚辰樹	3R 判定（3-0）
naoya	直也	2020-02-22	RIZIN.21	竹内賢一	3R 判定 （3-0）
naoya	直也	2018-08-12	RWEDDINGS presents RIZIN.12	Ryuki	3R 判定 3-0
nagashima-jienotsu-yuuichirou	長島☆自演乙☆雄一郎	2015-12-31	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	アンディ・サワー	1R 5:29 KO（スタンドパンチ連打）<!--RIZIN公式記録-->
tenshin-nasukawa	那須川天心	2017-12-31	RIZIN FIGHTING WORLD GRAND-PRIX 2017 Final ROUND	浜本"キャット"雄大	2R 1:58 KO（跳び膝蹴り）
aoi-noda	野田蒼	2024-12-31	RIZIN DECADE 雷神番外地	篠塚辰樹	1R 2分07秒 TKO（スリーノックダウン）
hashimoto-futa	橋本 楓汰	2025-05-04	RIZIN男祭り	赤平大治	3R判定（0-3）
panchan-rina	ぱんちゃん璃奈	2021-09-19	Yogibo presents RIZIN.30	百花	3R 判定 （3-0）
pita-atsu	ピーター・アーツ	2015-12-31	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	把瑠都	3分3R終了 判定0-3
hinata	日菜太	2015-12-29	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	宮田和幸	1R 2:14 TKO（3ノックダウン：左ストレート）
hiramoto-ren	平本 蓮	2019-12-29	BELLATOR JAPAN	芦田崇宏	1R 2分45秒 TKO（3ノックダウン）
hiroya	HIROYA	2021-08-21	ベルヴィ武蔵野 Presents RIZIN WEDDING for HIROYA	大雅	3分1R
hiroya	HIROYA	2019-10-12	RIZIN.19	小西拓槙	1R 1分20秒 TKO（レフェリーストップ）
hiroya	HIROYA	2015-12-29	SARABAの宴	西浦“ウィッキー”聡生	3R 1:20 KO
hiroya	HIROYA	2015-12-29	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	西浦"ウィッキー"聡生	3R 1:20 KO（右フック）
buakao-banchameku	ブアカーオ・バンチャメーク	2023-05-06	RIZIN.42	安保瑠輝也	3R 判定 ドロー（0-0）
bobu-sapu	ボブ・サップ	2018-09-30	RIZIN.13	大砂嵐	3分3R終了 判定3-0
bobu-sapu	ボブ・サップ	2015-12-31	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	曙	2R 0:47 負傷判定3-0
horio-ryuji	堀尾 竜司	2019-08-18	GOOD SPEED presents RIZIN.18	桜井宇宙	3R 判定（3-0）
horio-ryuji	堀尾 竜司	2019-06-02	RIZIN.16	国崇	3R 判定（0-3）
