name,yomi_kana,yomi_romaji,yomi_source,gym,orgs,source_urls
ムラッド・サリ,ムラッド・サリ,,published_kana,,,https://ja.wikipedia.org/wiki/ムラッド・サリ
ムラッド・ボウジディ,ムラッド・ボウジディ,,published_kana,,,https://ja.wikipedia.org/wiki/ムラッド・ボウジディ
村浜武洋,ムラハマ タケヒロ,,published_kana,,,https://ja.wikipedia.org/wiki/村浜武洋
ムン・メイキア,ムン・メイキア,,published_kana,カンボジア,KNOCK OUT,https://knockoutkb.com/fighters/meun_mekkhea_390
萌衣,メイ,Mei,published_kana,team NOVA,Krush|Krush-EX,https://www.k-1.co.jp/fighter/1684
メイサム・エシギ,メイサム・エシギ,,published_kana,士魂村上塾,K-1,https://www.k-1.co.jp/fighter/1124
メイソン・ストロッドマン,メイソン・ストロッドマン,,published_kana,WARMAN MUAY THAI,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1654
目黒 翔大,メグロ ショウタ,Meguro Shota,published_kana,優弥道場,Krush|Krush-EX,https://www.k-1.co.jp/fighter/991
目黒ヨックタイジム,メグロヨックタイジム,Meguro Yokthaigym,published_kana,,K-1,https://www.k-1.co.jp/fighter/408
メディ・ジライフィ,メディ・ジライフィ,,published_kana,スペイン/TEAM CALBET,KNOCK OUT,https://knockoutkb.com/fighters/mehdi_jraifi_218
メトラジェタ・トリノ,メトラジェタ・トリノ,,published_kana,Picante Fight Club,K-1,https://www.k-1.co.jp/fighter/1629
メラニン・ケニー,メラニン・ケニー,,published_kana,バンゲリングベイ・スピリット,K-1,https://www.k-1.co.jp/fighter/747
メルシック・バダザリアン,メルシック・バダザリアン,,published_kana,Muay Thai America Gym,K-1,https://www.k-1.co.jp/fighter/803
Melty輝,メルティー キラ,Melty Kira,published_kana,FLAT UP GYM,K-1 WORLD GP|RISE,https://www.k-1.co.jp/fighter/1725|https://rise-rc.com/fighter/melty_kira/
メルヴィン・マヌーフ,メルヴィン・マヌーフ,,published_kana,,,https://ja.wikipedia.org/wiki/メルヴィン・マヌーフ
メレティス・カコウバヴァス,メレティス・カコウバヴァス,,published_kana,KRITIKOS CAMP,K-1,https://www.k-1.co.jp/fighter/1305
メロニー・ヘウヘス,メロニー・ヘウヘス,,published_kana,Mike's Gym,K-1,https://www.k-1.co.jp/fighter/732
メン・ガオフォン,メン・ガオフォン,,published_kana,天津阿福ファイトクラブ/CFP,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1509
メールダード・サヤディ,メールダード・サヤディ,,published_kana,TEAMOTA/ICF,RISE,https://rise-rc.com/fighter/mehrdad_sayyadi/
モイセス・バプティスタ・デ・ソウザ,モイセス・バプティスタ・デ・ソウザ,,published_kana,,,https://ja.wikipedia.org/wiki/モイセス・バプティスタ・デ・ソウザ
MOE,モエ,,published_kana,若獅子会館,K-1 WORLD GP|Krush|Krush-EX,https://www.k-1.co.jp/fighter/940|https://ja.wikipedia.org/wiki/高橋萌
モデスティノ・ロドリゲス,モデスティノ・ロドリゲス,,published_kana,RBT/Winner Combat Team,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1676
志樹,モトキ,Motoki,published_kana,シルスジム,K-1,https://www.k-1.co.jp/fighter/1110
幹・ウィラサクレック,モトキ・ウィラサクレック,Motoki Weerasakreck,published_kana,WSRフェアテックス札幌,K-1,https://www.k-1.co.jp/fighter/923
本村 謙太,モトムラ ケンタ,Motomura Kenta,published_kana,,K-1,https://www.k-1.co.jp/fighter/316
本村 康博,モトムラ ヤスヒロ,Motomura Yasuhiro,published_kana,,K-1,https://www.k-1.co.jp/fighter/315
モハメッド・カルーア,モハメッド・カルーア,,published_kana,DCボクシングジム,RISE,https://rise-rc.com/fighter/mohamed-kloua/
モハメド・アズーイ,モハメド・アズーイ,,published_kana,,,https://ja.wikipedia.org/wiki/モハメド・アズーイ
モハメド・イスラム,モハメド・イスラム,,published_kana,Naito Gym,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1416
モハメド・ギャラウィー,モハメド・ギャラウィー,,published_kana,,K-1,https://www.k-1.co.jp/fighter/423
モハメド・ジャラヤ,モハメド・ジャラヤ,,published_kana,‘T Oude Westen Gym,RISE,https://rise-rc.com/fighter/mohammed-jaraya/
モハメド・ブタザ,モハメド・ブタザ,,published_kana,Southpaw Gym,K-1 WORLD GP,https://www.k-1.co.jp/fighter/1581
モハメド・ブールフ,モハメド・ブールフ,,published_kana,,K-1,https://www.k-1.co.jp/fighter/317
